finding_id,severity,ticket,affected,source_or_reproduction,expected,observed,responsible_lane,acceptance_condition,evidence_to_close,status,raised_at,last_observed_base,linked,history
F-001,HIGH,C01;C02,docs/source/ORVIA_Version_1_Unified_Master_with_Version_2_AI_Roadmap.md,git ls-tree e839b1a; EV-SRC-004,"Approved, unmodified master rev 1.3 in docs/source/ with SHA-256 527daa1d…6bef6; Cowork able to read it",Repository copy still absent at e839b1a. Cowork read the human's reference copy read-only (EV-SRC-004): SHA-256 matches. Cowork's wording review now cites the master; the repository placement remains open.,Human (place the approved original under docs/source/),Repository copy present with matching SHA-256,git ls-tree + sha256 of docs/source copy,PARTIALLY_RESOLVED,2026-09-16,e839b1a,W00-F01; EV-SRC-004,2026-09-16 @96b8bd7: OPEN — No docs/source directory in the repository | 2026-09-16 @e5cdef3: Still absent in repository; Work verified the reference outside the repository; Cowork access still missing. | 2026-09-16 @e839b1a: Cowork read access resolved via verified reference; repository copy still absent. Severity lowered from BLOCKER to HIGH because Cowork review is no longer blocked.
F-002,BLOCKER,C01,tracking/capabilities.json (33 modules; 7 DEFERRED_V2),git ls-tree e839b1a; C:\Cyberfyx-projects listing (no kit ZIP found),"Genuine register from ORVIA_Prototype_Execution_Kit_v1.zip with its schema, IDs, 33 modules and release classification","Still absent at e839b1a. The kit ZIP was not found in the folder made available to Cowork (C:\Cyberfyx-projects) and was not attached. The master confirms 33 modules, IDs 1–18 and 26–33 in Version 1 and IDs 19–25 DEFERRED_V2 (EV-SRC-004); Cowork did not build a register from that list because the register's schema and IDs come from the kit.",Human (supply ORVIA_Prototype_Execution_Kit_v1.zip or its tracking/capabilities.json),"Original register imported unchanged in schema/IDs; Cowork confirms 33 modules and exactly IDs 19–25 DEFERRED_V2 against EV-SRC-004, then updates only status fields from evidence",File present; Cowork cross-check note,OPEN,2026-09-16,e839b1a,EV-SRC-004; A00 handoff (also lists it missing),2026-09-16 @96b8bd7: OPEN — tracking/ directory absent; Cowork did not create a replacement register to avoid inventing modules | 2026-09-16 @e5cdef3: Still absent; genuine source identified by Work but not supplied to Cowork. | 2026-09-16 @e839b1a: Still absent; master cross-check facts recorded.
F-003,HIGH,C00;C01;C02,A00 bootstrap and executable contract,PR #3 merged into main (e839b1a); handoffs/codex/A00-e5cdef3.md; tracking/tasks.json @ e839b1a,Accepted A00 base (Work review + human integration) with executable contracts,"A00 scaffold, contract proposal 0.2.0 and handoff are on main (merge commit e839b1a). Canonical tracking still shows A00 NOT_STARTED and W00 BLOCKED; contract_review_status PENDING_W00. Only / and /healthz exist as HTTP routes; no workspace or Privacy Centre screens.",Work (review A00 and record status); Human (integration already done via PR #3),Work records A00 acceptance (or findings) and the accepted contract version,tracking/tasks.json and CURRENT_STATE.md update by Work,PARTIALLY_RESOLVED,2026-09-16,e839b1a,W00-F01; W00-F02; W00-F03,"2026-09-16 @96b8bd7: OPEN — No application code, contracts, manifests or tests on main | 2026-09-16 @e5cdef3: Unchanged: still no A00 commit or handoff. | 2026-09-16 @e839b1a: A00 implementation integrated; Work acceptance not recorded. Severity lowered from BLOCKER."
F-004,HIGH,C01;C02,CURRENT_STATE.md,git ls-tree e839b1a,Factual shared state including accepted commits and deadline,Present since e5cdef3 and unchanged at e839b1a (still describes the W00 checkpoint; does not yet mention the A00 merge). The missing-file observation is resolved; this does not mean any acceptance is complete. The deadline part continues under F-015; the stale A00 status is routed to Work in the r3 handoff.,Work,CURRENT_STATE.md present (met),"EV-SRC-002, EV-SRC-003",RESOLVED,2026-09-16,e839b1a,F-015; F-003,2026-09-16 @96b8bd7: OPEN — File absent; W00/doc-r1 snapshot (NOT_READY; T01–T34 NOT_RUN) not visible in the repository | 2026-09-16 @e5cdef3: CURRENT_STATE.md now present; availability finding resolved. | 2026-09-16 @e839b1a: File still present; availability finding stays resolved. A00-merge consolidation is Work's (see handoff).
F-005,MEDIUM,C00,Kit files named in README_START_HERE.md,README 'Kit contents' vs git ls-tree e839b1a,Every kit file present or recorded as intentionally absent,"Present: SOURCE_ALIGNMENT.md, TASK_BOARD.md, tracking/tasks.json, tracking/acceptance.json (Work, from the matching kit); scripts/validate-tracking.ts replaces the kit validator (Codex, W00-F04). Still absent: tracking/capabilities.json (F-002), tracking/contract_seed.json (Codex proposal exists as packages/contracts/generated/contract-seed.proposed.json), handoffs/TEMPLATE.md, prompts/. Kit versions of UX_BRIEF.md, DEMO_SCRIPT.md and RELEASE_CHECKLIST.md have not been seen by Cowork; the Cowork files are the only versions.",Human (kit access); Work (shared template); Codex (contract seed),Each missing kit file imported by its owner or recorded as intentionally absent; Cowork compares its owned files with any kit versions,Diff note in docs/reviews/cowork/,PARTIALLY_RESOLVED,2026-09-16,e839b1a,F-002; W00-F01; W00-F04,"2026-09-16 @96b8bd7: OPEN — Listed files absent. Cowork created UX_BRIEF.md, DEMO_SCRIPT.md and RELEASE_CHECKLIST.md fresh; any kit versions must be reconciled | 2026-09-16 @e5cdef3: Partly resolved by Work's restoration of trackers and alignment files. | 2026-09-16 @e839b1a: Partly resolved; Codex validator replacement now present."
F-006,MEDIUM,C00,P-RECEIPT: receipt facts vs current progress; UI_COPY receipt.progress.*,CONTRACT.md §4; packages/contracts/src/index.ts Receipt/ReceiptView (0.2.0),Frozen propagation values; stored receipt never rewritten; current projection separate,0.2.0 proposes Receipt.propagation_status ACCEPTED|NOT_REQUIRED and ReceiptView.current.propagation_status ACCEPTED|RUNNING|NEEDS_ATTENTION|COMPLETED|NOT_REQUIRED with as_of. UI_COPY now maps to those values but keeps them UNRESOLVED until Work accepts 0.2.0.,Work (accept/return 0.2.0); Codex (schema); Claude Code (bind),0.2.0 accepted by Work; UI_COPY bindings changed to the accepted contract version,Work review record + contract version,OPEN,2026-09-16,e839b1a,W00-F03; A00-W00-F02-F03,2026-09-16 @96b8bd7: OPEN — Values undefined; Cowork mapping is proposed only | 2026-09-16 @e5cdef3: Unchanged; now tracked jointly with W00-F03. | 2026-09-16 @e839b1a: Proposal available (0.2.0); acceptance pending.
F-007,MEDIUM,C00,W-OVERVIEW cards; workflow NEEDS_ATTENTION summary,packages/contracts/src/index.ts Overview.counts (0.2.0),Overview counts match the cards the UI shows; each card's meaning defined,"0.2.0 proposes counts accepted, running, needs_attention, completed, effect_unknown, manual_required, failed, unverified. It has no separate counts for UNVERIFIABLE, OBSERVED_NOT_SATISFIED or STALE, and 'unverified' is not defined. UI_COPY now uses one 'Not independently observed' card for 'unverified' and marks the separate cards as not bound. Workflow-level summary counts are not in Workflow (derive from obligations, rule undefined).",Codex (define 'unverified' and any per-observation counts); Work (review),Accepted definition of each count; count parity test (T21),T21 record with API vs DB counts,OPEN,2026-09-16,e839b1a,A00-W00-F02-F03,2026-09-16 @96b8bd7: OPEN — Response fields not defined | 2026-09-16 @e5cdef3: Unchanged at e5cdef3. | 2026-09-16 @e839b1a: Narrowed to the 0.2.0 count set.
F-008,MEDIUM,C00,"Reconciliation record, quarantined target, ignored stale events, coverage changes",ADR-001 (§25 RECONCILING mapping); packages/contracts 0.2.0 Reconciliation,"Durable, explicitly typed reconciliation attempt; accepted representation for quarantine, stale-event timeline and coverage loss","0.2.0 proposes a separate Reconciliation record (PENDING → RECONCILING → RESOLVED | INCONCLUSIVE | FAILED; RESOLVED needs an observation reference) while the uncertain attempt stays EFFECT_UNKNOWN. UI_COPY consumes these proposed values (not Cowork enums) and keeps them UNRESOLVED pending W00. No representation yet for a quarantined restored target, an ignored stale event, 'retry permitted' after reconciliation, or permission-loss coverage changes. The button's 'Starting reconciliation…' text is transient and is not the durable record.",Codex (representation for the remaining items); Work (review 0.2.0); Claude Code (bind),Accepted schema/examples for reconciliation and the remaining states; UI_COPY bindings updated,Contract version + examples; T17/T25 records,OPEN,2026-09-16,e839b1a,W00-F03; ADR-001; A00-W00-F02-F03,2026-09-16 @96b8bd7: OPEN — No representation defined. Cowork introduces no RECONCILING or QUARANTINED enum; affected copy is marked UNRESOLVED | 2026-09-16 @e5cdef3: Mapped to ADR-001 and W00-F03; executable representation still missing. | 2026-09-16 @e839b1a: Reconciliation attempt proposed in 0.2.0; other representations still missing.
F-009,LOW,C00,state.action.SKIPPED / FAILED detail,0.2.0 Obligation.skip_reason; CommandReceipt.reason_code,Safe skip and failure reasons available to the UI,"0.2.0 proposes Obligation.skip_reason (safe text) and CommandReceipt.reason_code (an A–Z code, not display text). No reviewed mapping from reason codes to display text.",Codex (reason-code catalogue); Work (review),Accepted fields plus a reviewed reason-code text mapping,Contract examples + mapping file,OPEN,2026-09-16,e839b1a,F-025,2026-09-16 @96b8bd7: OPEN — Fields not defined | 2026-09-16 @e5cdef3: Unchanged at e5cdef3. | 2026-09-16 @e839b1a: skip_reason proposed; failure text mapping missing.
F-010,MEDIUM,C00,W-TESTLAB broken-fixture note and scenario list,0.2.0 TestRun.expected_fault_detection; TestRunCreate.scenario,Run record declares the expected fault detection; UI never infers it,"0.2.0 proposes expected_fault_detection and three scenarios (MARKETING_WITHDRAWAL_HEALTHY, MARKETING_WITHDRAWAL_BROKEN_CONTROL, TARGET_RESTORE_QUARANTINE) with fixture aster-birch-v1. UI_COPY binds labels to these, UNRESOLVED pending W00.",Work (accept 0.2.0); Codex (A06 runner),Accepted fields; T24 review confirms the result is not derived from the selector,T24 record + code review note,OPEN,2026-09-16,e839b1a,A00-W00-F02-F03,2026-09-16 @96b8bd7: OPEN — Not defined | 2026-09-16 @e5cdef3: Unchanged at e5cdef3. | 2026-09-16 @e839b1a: Proposal available.
